"","Longitude","Latitude"
"1",-112.91702,37.59292
"2",-113.69296,37.33802
"3",-112.949409,37.305105
"4",-113.39999,37.28633
"5",-112.94722,37.28447
"10",-112.93805,37.27073
"11",-113.09397,37.26874
"13",-113.36943,37.25989
"14",-112.94898,37.25941
"16",-113.28594,37.25722
"17",-112.96246,37.25711
"22",-112.956607,37.248593
"24",-112.965533,37.237661
"26",-113.40546,37.2239
"27",-112.96667,37.21633
"28",-112.99891,37.21323
"29",-112.9867,37.21052
"30",-112.957711,37.209969
"31",-113.39765,37.20902
"32",-112.72183,37.19301
"33",-112.99022,37.17547
"34",-112.9659,37.1618
"35",-113.03764,37.15902
"36",-112.50569,36.393805
"37",-115.02282,36.20175
"38",-112.094772,36.105708
"39",-112.128782,36.077546
"40",-106.0599,35.96889
"41",-111.76816,35.83557
"42",-106.19649,35.80366
"43",-113.47253,35.17867
"46",-111.747752,34.989608
"48",-111.75,34.9398
"50",-111.73544,34.92485
"51",-111.74881,34.91239
"52",-112.069922,34.881855
"56",-111.759027,34.868539
"58",-112.068938,34.866636
"60",-111.800566,34.824089
"61",-112.007316,34.753094
"63",-111.71263,34.6678
"64",-106.7403,34.65267
"65",-111.851654,34.549831
"66",-110.4012,34.4481
"68",-112.569078,34.310688
"71",-110.979678,34.205235
"72",-112.163208,34.191895
"73",-110.8088244,34.10772951
"74",-112.1583939,34.06165489
"75",-109.4364,34.03799
"76",-111.8614841,33.96288553
"77",-112.6970888,33.93337304
"79",-111.816444,33.916074
"80",-111.958385,33.881575
"81",-110.9664796,33.84598627
"82",-111.589333,33.553875
"83",-110.2794,33.5107
"84",-108.82545,33.42071
"86",-108.842497,33.370872
"87",-112.49092,33.34266
"88",-111.2916542,33.30118163
"92",-108.2154,33.202761
"93",-108.02818,33.18548
"94",-109.4399858,33.05896986
"95",-107.38893,32.97939
"96",-108.493,32.969
"98",-108.52861,32.96428
"99",-109.89135,32.93652
"100",-107.686,32.9198
"101",-107.52932,32.91898
"102",-109.4898,32.9113
"104",-107.9968,32.8979
"106",-109.4798684,32.89432228
"108",-108.5999,32.84153
"109",-108.50814,32.83906
"110",-107.91544,32.79085
"111",-107.8661,32.7314
"112",-108.37932,32.72942
"113",-109.8141916,32.65126366
"114",-110.25881,32.35393
"116",-110.24383,32.351662
"119",-111.81482,32.10396
"120",-109.297663,32.067382
"121",-110.6438256,32.01878803
"122",-109.38228,31.92981
"123",-109.219147,31.929514
"124",-109.25207,31.919391
"125",-109.240762,31.913062
"128",-109.251939,31.908973
"131",-109.174055,31.8861
"132",-109.205693,31.883648
"135",-109.222598,31.875792
"137",-109.234014,31.872477
"142",-109.313,31.7762
"144",-110.843897,31.759042
"145",-109.366166,31.757589
"146",-110.884293,31.738155
"154",-110.881019,31.728167
"159",-110.873723,31.711557
"160",-109.51,31.595
"163",-110.37418,31.54113
"164",-110.843468,31.498946
"165",-110.31729,31.491895
"166",-110.353198,31.482667
"167",-110.631137,31.475405
"169",-110.353707,31.472588
"170",-110.361456,31.461805
"171",-110.39613,31.45568
"173",-110.306879,31.447783
"177",-110.31815,31.443866
"186",-110.32082,31.432713
"187",-111.188437,31.431988
"188",-110.277417,31.413769
"193",-107.824412,32.89778
"195",-108.206111,33.180278
"196",-108.2675,33.23083333
"200",-110.3625,32.3822222
"201",-110.7869444,31.686666
"203",-111.09,34.34583
"204",-111.03833,34.30888
"205",-111.0527,34.673611
"206",-111.737777,34.99583
"207",-113.38861,37.2733
"209",-113.178055,37.2025
"210",-110.3613,31.38277
