Species,Longitude,Latitude
Hetaerina_vulnerata,-109.4869,32.9094
Hetaerina_vulnerata,-109.297663,32.067382
Hetaerina_vulnerata,-110.353707,31.472588
Hetaerina_vulnerata,-109.233573,31.87244
Hetaerina_vulnerata,-112.91702,37.59292
Hetaerina_vulnerata,-112.128782,36.077546
Hetaerina_vulnerata,-107.686,32.9198
Hetaerina_vulnerata,-107.91544,32.79085
Hetaerina_vulnerata,-111.757614,34.869154
Hetaerina_vulnerata,-107.8661,32.7314
Hetaerina_vulnerata,-110.881204,31.728318
Hetaerina_vulnerata,-115.02282,36.20175
Hetaerina_vulnerata,-110.31815,31.443866
Hetaerina_vulnerata,-112.94722,37.28447
Hetaerina_vulnerata,-112.569078,34.310688
Hetaerina_vulnerata,-112.50569,36.393805
Hetaerina_vulnerata,-109.4798684,32.89432228
Hetaerina_vulnerata,-109.89135,32.93652
Hetaerina_vulnerata,-112.99891,37.21323
Hetaerina_vulnerata,-110.4012,34.4481
Hetaerina_vulnerata,-106.7403,34.65267
Hetaerina_vulnerata,-110.277417,31.413769
Hetaerina_vulnerata,-110.884293,31.738155
Hetaerina_vulnerata,-110.30788,31.44752
Hetaerina_vulnerata,-113.36943,37.25989
Hetaerina_vulnerata,-111.0527,34.673611
Hetaerina_vulnerata,-110.873723,31.711557
Hetaerina_vulnerata,-110.24402,32.351597
Hetaerina_vulnerata,-113.40546,37.2239
Hetaerina_vulnerata,-110.361456,31.461805
Hetaerina_vulnerata,-107.38893,32.97939
Hetaerina_vulnerata,-113.47253,35.17867
Hetaerina_vulnerata,-113.03764,37.15902
Hetaerina_vulnerata,-109.219147,31.929514
Hetaerina_vulnerata,-108.82545,33.42071
Hetaerina_vulnerata,-111.851654,34.549831
Hetaerina_vulnerata,-110.32082,31.432713
Hetaerina_vulnerata,-109.366166,31.757589
Hetaerina_vulnerata,-111.73908,34.92856
Hetaerina_vulnerata,-109.174055,31.8861
Hetaerina_vulnerata,-110.353198,31.482667
Hetaerina_vulnerata,-111.800566,34.824089
Hetaerina_vulnerata,-112.1583939,34.06165489
Hetaerina_vulnerata,-112.068938,34.866636
Hetaerina_vulnerata,-110.843468,31.498946
Hetaerina_vulnerata,-111.737777,34.99583
Hetaerina_vulnerata,-110.362977,31.38108
Hetaerina_vulnerata,-110.843897,31.759042
Hetaerina_vulnerata,-108.37932,32.72942
Hetaerina_vulnerata,-108.206111,33.180278
Hetaerina_vulnerata,-112.949409,37.305105
Hetaerina_vulnerata,-112.094772,36.105708
Hetaerina_vulnerata,-112.49092,33.34266
Hetaerina_vulnerata,-109.25207,31.919391
Hetaerina_vulnerata,-113.28594,37.25722
Hetaerina_vulnerata,-108.50814,32.83906
Hetaerina_vulnerata,-112.069922,34.881855
Hetaerina_vulnerata,-112.94898,37.25941
Hetaerina_vulnerata,-110.979678,34.205235
Hetaerina_vulnerata,-106.0599,35.96889
Hetaerina_vulnerata,-110.631137,31.475405
Hetaerina_vulnerata,-109.4399858,33.05896986
Hetaerina_vulnerata,-112.957711,37.209969
Hetaerina_vulnerata,-108.265838,33.228134
Hetaerina_vulnerata,-110.372858,31.542498
Hetaerina_vulnerata,-111.188437,31.431988
Hetaerina_vulnerata,-112.96667,37.21633
Hetaerina_vulnerata,-111.09,34.34583
Hetaerina_vulnerata,-109.250697,31.909309
Hetaerina_vulnerata,-112.94617,37.27179
Hetaerina_vulnerata,-108.493,32.969
Hetaerina_vulnerata,-112.965533,37.237661
Hetaerina_vulnerata,-110.39613,31.45568
Hetaerina_vulnerata,-107.824078,32.897443
Hetaerina_vulnerata,-109.812778,32.651111
Hetaerina_vulnerata,-110.7869444,31.686666
Hetaerina_vulnerata,-112.72183,37.19301
Hetaerina_vulnerata,-113.69296,37.33802
Hetaerina_vulnerata,-107.9968,32.8979
Hetaerina_vulnerata,-111.71263,34.6678
Hetaerina_vulnerata,-112.99022,37.17547
Hetaerina_vulnerata,-110.25881,32.35393
Hetaerina_vulnerata,-113.09397,37.26874
Hetaerina_vulnerata,-112.96246,37.25711
Hetaerina_vulnerata,-108.842497,33.370872
Hetaerina_vulnerata,-113.178055,37.2025
Hetaerina_vulnerata,-112.956607,37.248593
Hetaerina_vulnerata,-113.39209,37.2772
